Vuosi,Kk,Pv,Klo,Aikavyöhyke,Sademäärä (mm),Lumensyvyys (cm),Ilman lämpötila (degC),Maanpintaminimi (degC),Ylin lämpötila (degC),Alin lämpötila (degC)
2020,2,27,00:00,UTC,-,-,-,-,-,-
2020,2,28,00:00,UTC,-,-,-,-,-,-
2020,2,29,00:00,UTC,0.3,-,-6,-,-1.5,-13.6
2020,3,1,00:00,UTC,7.2,-,0.4,-,2.1,-1.9
2020,3,2,00:00,UTC,0.1,-,3,-,5.4,0.8
2020,3,3,00:00,UTC,1.1,-,0.7,-,2.9,-0.4
2020,3,4,00:00,UTC,4.2,-,0.8,-,1.1,0.3
2020,3,5,00:00,UTC,1.6,-,2.1,-,3.5,1.1
2020,3,6,00:00,UTC,-1,-,0.4,-,2.9,-1.4
2020,3,7,00:00,UTC,-1,-,-0.8,-,4.1,-4.5
2020,3,8,00:00,UTC,-1,-,0.7,-,5.3,-4.4
2020,3,9,00:00,UTC,0.4,-,3.6,-,4.6,2
2020,3,10,00:00,UTC,3.5,-,3.3,-,4.1,2.8
2020,3,11,00:00,UTC,4.3,-,1.9,-,3.7,0.5
2020,3,12,00:00,UTC,2.5,-,2.5,-,6,0.3
2020,3,13,00:00,UTC,-1,-,-0.1,-,3,-2.7
2020,3,14,00:00,UTC,-1,-,-3.4,-,-0.1,-5.5
2020,3,15,00:00,UTC,4.6,-,0.2,-,5.5,-6.5
2020,3,16,00:00,UTC,0.1,-,2.6,-,4.8,0.4
2020,3,17,00:00,UTC,0.3,-,0.3,-,3.8,-6.4
2020,3,18,00:00,UTC,3.3,-,4.5,-,6.2,3.3
2020,3,19,00:00,UTC,0.1,-,3.1,-,7.5,0.7
2020,3,20,00:00,UTC,-1,-,-1.1,-,3.7,-2.7
2020,3,21,00:00,UTC,0.7,-,-2.9,-,1.6,-6.4
2020,3,22,00:00,UTC,-1,-,-2.2,-,3.9,-10.2
2020,3,23,00:00,UTC,-1,-,1.3,-,5.5,-3.2
2020,3,24,00:00,UTC,-1,-,3.9,-,9.2,0.4
2020,3,25,00:00,UTC,-1,-,6.2,-,11,2.6
2020,3,26,00:00,UTC,-1,-,6.5,-,12.3,3.8
2020,3,27,00:00,UTC,-1,-,4.7,-,11.1,-1.8
2020,3,28,00:00,UTC,-1,-,4.3,-,9.5,0.2
2020,3,29,00:00,UTC,-1,-,-1.4,-,3.2,-3.5
2020,3,30,00:00,UTC,-1,-,-2.1,-,2.4,-6
2020,3,31,00:00,UTC,0.5,-,-2.4,-,0.9,-9.1
2020,4,1,00:00,UTC,0.5,-,1.7,-,5.7,-0.4
2020,4,2,00:00,UTC,3.1,-,2.9,-,8.2,-2.8
2020,4,3,00:00,UTC,0.3,-,1.2,-,4.7,-0.2
2020,4,4,00:00,UTC,-1,-,1.4,-,5.7,-2.2
2020,4,5,00:00,UTC,0.4,-,1.4,-,5.8,-2.4
2020,4,6,00:00,UTC,-1,-,5.9,-,13.4,-1.3
2020,4,7,00:00,UTC,2.4,-,8.2,-,17.2,1.9
2020,4,8,00:00,UTC,-1,-,7.1,-,12.9,0.4
2020,4,9,00:00,UTC,-1,-,5.8,-,8.6,4.1
2020,4,10,00:00,UTC,-1,-,2,-,6.6,-1
2020,4,11,00:00,UTC,2.1,-,1.9,-,6.6,-1.8
2020,4,12,00:00,UTC,4.9,-,2.9,-,6.2,-2.5
2020,4,13,00:00,UTC,1.3,-,2.6,-,6.2,-0.4
2020,4,14,00:00,UTC,2.1,-,1.3,-,5.2,-0.5
2020,4,15,00:00,UTC,6.1,-,2.1,-,6.6,-0.6
2020,4,16,00:00,UTC,1.9,-,2.5,-,6.9,0.3
2020,4,17,00:00,UTC,-1,-,3.4,-,6.3,0.4
2020,4,18,00:00,UTC,-1,-,4.6,-,8.8,1.2
2020,4,19,00:00,UTC,-1,-,5.5,-,9.5,0.4
2020,4,20,00:00,UTC,-1,-,8.1,-,12.9,4.1
2020,4,21,00:00,UTC,-1,-,9.2,-,15.1,1.3
2020,4,22,00:00,UTC,-1,-,8.1,-,13.5,2.9
2020,4,23,00:00,UTC,-1,-,6.5,-,11.6,0.2
2020,4,24,00:00,UTC,0.2,-,5.3,-,9.5,3.8
2020,4,25,00:00,UTC,-1,-,2.8,-,7.7,-2
2020,4,26,00:00,UTC,-1,-,3.8,-,8.1,-1.2
2020,4,27,00:00,UTC,-1,-,3.6,-,7.1,-0.6
2020,4,28,00:00,UTC,0.3,-,3.3,-,6.8,1.1
2020,4,29,00:00,UTC,1.5,-,2,-,6,0
2020,4,30,00:00,UTC,-1,-,2.7,-,7.2,-4.3
2020,5,1,00:00,UTC,-1,-,5.6,-,10.2,-0.9
2020,5,2,00:00,UTC,8.2,-,9.3,-,16.2,5.5
2020,5,3,00:00,UTC,0.1,-,9.4,-,12.5,7.7
2020,5,4,00:00,UTC,0.1,-,8.9,-,14.4,5.1
2020,5,5,00:00,UTC,-1,-,10.2,-,16.5,2.1
2020,5,6,00:00,UTC,-1,-,9.1,-,14.8,2.8
2020,5,7,00:00,UTC,-1,-,7.5,-,12.8,1.8
2020,5,8,00:00,UTC,-1,-,7.9,-,12.8,0.3
2020,5,9,00:00,UTC,-1,-,7.7,-,12,3.9
2020,5,10,00:00,UTC,6.3,-,10.1,-,16.4,0.3
2020,5,11,00:00,UTC,3.7,-,3.2,-,14.1,-0.1
2020,5,12,00:00,UTC,0.2,-,3.7,-,8.6,-1.3
2020,5,13,00:00,UTC,0.4,-,3.2,-,8.4,-2.3
2020,5,14,00:00,UTC,-1,-,5.4,-,9.9,-0.5
2020,5,15,00:00,UTC,4.6,-,5,-,8.9,-0.3
2020,5,16,00:00,UTC,-1,-,3.4,-,6.8,0.4
2020,5,17,00:00,UTC,-1,-,5,-,10.4,0.2
2020,5,18,00:00,UTC,-1,-,6.1,-,12.1,1.7
2020,5,19,00:00,UTC,3.5,-,5.1,-,10.2,0.4
2020,5,20,00:00,UTC,-1,-,7.7,-,11.9,3.6
2020,5,21,00:00,UTC,-1,-,9,-,14,4.9
2020,5,22,00:00,UTC,-1,-,11.2,-,17.3,2.7
2020,5,23,00:00,UTC,-1,-,12.5,-,18.8,2.7
2020,5,24,00:00,UTC,-1,-,12.9,-,16.8,8.8
2020,5,25,00:00,UTC,-1,-,14.2,-,19.2,10
2020,5,26,00:00,UTC,-1,-,16.2,-,22.2,6.3
2020,5,27,00:00,UTC,1.4,-,15.5,-,21.8,6.6
2020,5,28,00:00,UTC,-1,-,13.6,-,17.4,10.8
2020,5,29,00:00,UTC,-1,-,12.6,-,16.6,6.9
2020,5,30,00:00,UTC,-1,-,15.2,-,19.6,10.9
2020,5,31,00:00,UTC,-1,-,16.1,-,21.4,8.8
2020,6,1,00:00,UTC,-1,-,15.9,-,20.6,11.1
2020,6,2,00:00,UTC,-1,-,14.4,-,19.9,7
2020,6,3,00:00,UTC,-1,-,14.4,-,19.9,6.5
2020,6,4,00:00,UTC,6.9,-,14.9,-,20.9,6.8
2020,6,5,00:00,UTC,8.4,-,12.7,-,15.7,10.6
2020,6,6,00:00,UTC,8.1,-,12.9,-,16.3,10.5
2020,6,7,00:00,UTC,-1,-,14.8,-,19.6,9.6
2020,6,8,00:00,UTC,4,-,12.9,-,19.4,8
2020,6,9,00:00,UTC,-1,-,15.4,-,19.9,11.7
2020,6,10,00:00,UTC,-1,-,17.4,-,23.1,9.7
2020,6,11,00:00,UTC,-1,-,18.1,-,23.6,11.5
2020,6,12,00:00,UTC,-1,-,18.3,-,23.3,10.5
2020,6,13,00:00,UTC,-1,-,19.1,-,24.6,9.7
2020,6,14,00:00,UTC,-1,-,19.1,-,24.8,10.1
2020,6,15,00:00,UTC,-1,-,20.4,-,26.9,10.1
2020,6,16,00:00,UTC,9.1,-,20.7,-,26.5,17.3
2020,6,17,00:00,UTC,29.7,-,21.7,-,26.7,17
2020,6,18,00:00,UTC,-1,-,20.5,-,24.9,16.4
2020,6,19,00:00,UTC,-1,-,20.4,-,25.7,13.4
2020,6,20,00:00,UTC,-1,-,20.8,-,25,14.5
2020,6,21,00:00,UTC,-1,-,18.1,-,22.8,13.3
2020,6,22,00:00,UTC,-1,-,18.5,-,23.7,9.8
2020,6,23,00:00,UTC,-1,-,21.2,-,27.5,12.1
2020,6,24,00:00,UTC,-1,-,23.4,-,29.4,14.3
2020,6,25,00:00,UTC,-1,-,24.4,-,30.5,15.4
2020,6,26,00:00,UTC,-1,-,23.2,-,28.8,15.1
2020,6,27,00:00,UTC,-1,-,23.4,-,29.5,14.4
2020,6,28,00:00,UTC,-1,-,22.2,-,26.9,18.1
2020,6,29,00:00,UTC,7,-,18.6,-,23.6,15.5
2020,6,30,00:00,UTC,22.3,-,14.6,-,18.1,12.8
2020,7,1,00:00,UTC,11.7,-,14.6,-,18.5,13
2020,7,2,00:00,UTC,11.3,-,14.2,-,19.9,7.4
2020,7,3,00:00,UTC,-1,-,16.1,-,20.3,12.1
2020,7,4,00:00,UTC,11.7,-,14.5,-,17.2,11.8
2020,7,5,00:00,UTC,16.4,-,14.9,-,18.2,11.9
2020,7,6,00:00,UTC,0.1,-,16,-,18.6,14.4
2020,7,7,00:00,UTC,2.2,-,14,-,18,12.8
2020,7,8,00:00,UTC,0.2,-,14.2,-,19.6,9.6
2020,7,9,00:00,UTC,0.6,-,12.7,-,16.7,9.4
2020,7,10,00:00,UTC,4.7,-,13,-,17.4,8.4
2020,7,11,00:00,UTC,12.3,-,12.3,-,16.3,10.2
2020,7,12,00:00,UTC,6.2,-,13.3,-,19.9,8.8
2020,7,13,00:00,UTC,0.3,-,12.6,-,18.4,7.8
2020,7,14,00:00,UTC,-1,-,14.9,-,20.4,8.2
2020,7,15,00:00,UTC,-1,-,16.9,-,22.4,9.2
2020,7,16,00:00,UTC,-1,-,18,-,23.8,10.1
2020,7,17,00:00,UTC,-1,-,20,-,25,11.7
2020,7,18,00:00,UTC,-1,-,20.7,-,26.4,13.8
2020,7,19,00:00,UTC,-1,-,20.7,-,26.2,13.6
2020,7,20,00:00,UTC,9.5,-,20.1,-,25.9,16.6
2020,7,21,00:00,UTC,9.3,-,17.7,-,22.4,14.4
2020,7,22,00:00,UTC,0.1,-,14.7,-,19.1,12.6
2020,7,23,00:00,UTC,3.8,-,12.7,-,14.4,11.3
2020,7,24,00:00,UTC,3.2,-,11.6,-,13.1,10.2
2020,7,25,00:00,UTC,0.1,-,14.1,-,17.6,11
2020,7,26,00:00,UTC,-1,-,16.4,-,23.4,8.3
2020,7,27,00:00,UTC,1.8,-,18.7,-,23.7,10.9
2020,7,28,00:00,UTC,3.6,-,17.4,-,20.6,15.5
2020,7,29,00:00,UTC,3.1,-,15.5,-,17.7,13.6
2020,7,30,00:00,UTC,-1,-,15.7,-,19.9,10.5
2020,7,31,00:00,UTC,-1,-,16.8,-,21.3,12.4
2020,8,1,00:00,UTC,-1,-,16.1,-,21.5,9.3
2020,8,2,00:00,UTC,4,-,16.2,-,22.5,12.2
2020,8,3,00:00,UTC,0.6,-,17.5,-,22.8,14.2
2020,8,4,00:00,UTC,0.1,-,16.8,-,21.8,11.7
2020,8,5,00:00,UTC,-1,-,16.6,-,22.1,12
2020,8,6,00:00,UTC,2.3,-,16.3,-,20.5,11.9
2020,8,7,00:00,UTC,-1,-,19.4,-,25.3,12.6
2020,8,8,00:00,UTC,-1,-,21.4,-,27.8,13.6
2020,8,9,00:00,UTC,-1,-,20.8,-,26.8,13.3
2020,8,10,00:00,UTC,-1,-,17.1,-,22.8,13
2020,8,11,00:00,UTC,-1,-,14.5,-,19,9.8
2020,8,12,00:00,UTC,0.6,-,14.7,-,19.1,11.1
2020,8,13,00:00,UTC,-1,-,14.4,-,19.1,11.1
